id_student,code_module,code_presentation,age_band,num_of_prev_attempts,studied_credits,disability,final_result,avg_score,total_clicks,active_days
11391,AAA,2013J,55<=,0,240,N,Pass,82.0,934.0,40.0
28400,AAA,2013J,35-55,0,60,N,Pass,66.4,1435.0,80.0
30268,AAA,2013J,35-55,0,60,Y,Withdrawn,,281.0,12.0
31604,AAA,2013J,35-55,0,60,N,Pass,76.0,2158.0,123.0
32885,AAA,2013J,0-35,0,60,N,Pass,54.4,1034.0,70.0
38053,AAA,2013J,35-55,0,60,N,Pass,68.0,2445.0,143.0
45462,AAA,2013J,0-35,0,60,N,Pass,68.0,1492.0,90.0
45642,AAA,2013J,0-35,0,120,N,Pass,72.4,1428.0,105.0
52130,AAA,2013J,0-35,0,90,N,Pass,71.4,1894.0,122.0
53025,AAA,2013J,55<=,0,60,N,Pass,78.0,3158.0,142.0
57506,AAA,2013J,35-55,0,60,N,Pass,74.0,1319.0,90.0
58873,AAA,2013J,0-35,0,60,N,Pass,73.2,1732.0,120.0
59185,AAA,2013J,35-55,0,60,N,Pass,78.6,1102.0,61.0
62155,AAA,2013J,0-35,0,60,N,Pass,76.0,3388.0,148.0
63400,AAA,2013J,35-55,0,60,N,Pass,71.6,2737.0,175.0
65002,AAA,2013J,0-35,0,60,N,Withdrawn,67.0,176.0,13.0
70464,AAA,2013J,35-55,0,60,N,Pass,55.6,1053.0,46.0
71361,AAA,2013J,35-55,0,60,N,Pass,80.4,2327.0,135.0
74372,AAA,2013J,35-55,0,150,N,Fail,48.5,116.0,14.0
75091,AAA,2013J,35-55,0,60,N,Pass,66.0,2992.0,122.0
77367,AAA,2013J,0-35,0,60,N,Pass,70.4,680.0,86.0
91265,AAA,2013J,0-35,0,60,N,Pass,70.8,1494.0,125.0
94961,AAA,2013J,35-55,0,60,N,Withdrawn,65.33333333333333,1240.0,93.0
98094,AAA,2013J,35-55,0,60,N,Pass,60.6,2839.0,91.0
100893,AAA,2013J,0-35,0,60,N,Pass,68.4,744.0,52.0
101781,AAA,2013J,35-55,0,60,N,Pass,72.6,4104.0,144.0
102806,AAA,2013J,0-35,0,60,N,Pass,78.0,1944.0,177.0
102952,AAA,2013J,0-35,0,60,N,Pass,76.6,1150.0,58.0
104476,AAA,2013J,35-55,0,60,N,Pass,79.6,4777.0,161.0
106247,AAA,2013J,35-55,0,60,N,Withdrawn,60.0,465.0,33.0
106577,AAA,2013J,0-35,0,60,N,Pass,53.4,733.0,47.0
110175,AAA,2013J,35-55,0,60,N,Pass,63.4,998.0,70.0
111717,AAA,2013J,35-55,0,60,N,Pass,81.0,2343.0,136.0
113295,AAA,2013J,35-55,0,60,N,Pass,77.6,3553.0,195.0
114017,AAA,2013J,35-55,0,60,N,Pass,71.8,757.0,50.0
114999,AAA,2013J,35-55,0,60,N,Pass,72.8,1358.0,120.0
116541,AAA,2013J,0-35,0,60,N,Pass,62.4,1886.0,108.0
116692,AAA,2013J,35-55,0,60,N,Pass,74.2,1108.0,98.0
118983,AAA,2013J,0-35,0,120,N,Pass,61.8,284.0,27.0
123044,AAA,2013J,35-55,0,60,N,Pass,71.4,2041.0,127.0
127582,AAA,2013J,0-35,0,180,N,Pass,69.6,1321.0,89.0
129955,AAA,2013J,0-35,0,60,N,Withdrawn,81.0,1888.0,110.0
132976,AAA,2013J,35-55,0,120,N,Pass,67.4,520.0,32.0
134143,AAA,2013J,35-55,0,60,N,Distinction,84.4,2732.0,138.0
135335,AAA,2013J,0-35,0,180,N,Withdrawn,,73.0,14.0
135400,AAA,2013J,35-55,0,60,Y,Withdrawn,53.142857142857146,610.0,43.0
137873,AAA,2013J,35-55,0,60,N,Pass,80.2,5528.0,192.0
141355,AAA,2013J,0-35,0,240,N,Pass,72.6,1823.0,92.0
141377,AAA,2013J,0-35,0,345,N,Withdrawn,48.833333333333336,756.0,41.0
142326,AAA,2013J,35-55,0,60,N,Pass,73.6,2121.0,95.0
144801,AAA,2013J,35-55,0,60,N,Pass,68.8,5645.0,200.0
145130,AAA,2013J,0-35,0,120,N,Pass,54.4,452.0,35.0
146188,AAA,2013J,0-35,0,60,Y,Fail,50.0,597.0,32.0
147756,AAA,2013J,0-35,0,120,N,Fail,68.66666666666667,1718.0,127.0
147793,AAA,2013J,0-35,0,90,N,Withdrawn,52.0,155.0,9.0
148993,AAA,2013J,35-55,0,60,Y,Withdrawn,79.5,3812.0,198.0
151358,AAA,2013J,0-35,0,150,N,Pass,50.0,270.0,20.0
155550,AAA,2013J,35-55,0,420,N,Pass,67.0,1529.0,81.0
155854,AAA,2013J,35-55,0,60,N,Pass,79.8,4003.0,202.0
155984,AAA,2013J,0-35,0,60,N,Withdrawn,78.14285714285714,2645.0,134.0
157568,AAA,2013J,0-35,0,60,N,Pass,70.6,1405.0,87.0
159954,AAA,2013J,35-55,0,60,N,Withdrawn,68.2,2062.0,124.0
164259,AAA,2013J,0-35,0,60,N,Pass,71.8,466.0,51.0
167906,AAA,2013J,35-55,0,60,N,Pass,69.4,1510.0,99.0
168936,AAA,2013J,35-55,0,60,N,Pass,66.4,745.0,42.0
172112,AAA,2013J,35-55,0,60,N,Pass,69.6,1939.0,135.0
172797,AAA,2013J,35-55,0,60,N,Pass,61.4,1782.0,86.0
174782,AAA,2013J,55<=,0,60,N,Pass,80.4,6318.0,249.0
175392,AAA,2013J,35-55,0,60,N,Pass,82.4,4447.0,197.0
175932,AAA,2013J,35-55,0,60,N,Pass,78.2,2016.0,97.0
175991,AAA,2013J,0-35,0,180,N,Fail,37.6,138.0,17.0
180753,AAA,2013J,0-35,0,120,N,Pass,53.4,2012.0,157.0
181316,AAA,2013J,35-55,0,120,N,Withdrawn,76.0,487.0,20.0
183096,AAA,2013J,0-35,0,60,N,Pass,54.0,1975.0,116.0
183947,AAA,2013J,0-35,0,180,N,Pass,49.0,964.0,58.0
184271,AAA,2013J,35-55,0,170,N,Pass,59.8,1312.0,147.0
185439,AAA,2013J,0-35,0,120,N,Fail,74.0,427.0,15.0
186149,AAA,2013J,35-55,0,60,N,Pass,76.0,2136.0,109.0
187100,AAA,2013J,35-55,0,60,N,Distinction,89.2,8562.0,231.0
188278,AAA,2013J,35-55,0,120,N,Withdrawn,71.66666666666667,4497.0,167.0
189879,AAA,2013J,0-35,0,120,N,Pass,79.4,1541.0,84.0
192183,AAA,2013J,0-35,0,60,N,Pass,68.4,3219.0,176.0
195262,AAA,2013J,0-35,0,60,N,Withdrawn,50.0,1905.0,58.0
200860,AAA,2013J,35-55,0,60,N,Pass,54.4,534.0,81.0
202635,AAA,2013J,0-35,0,60,N,Withdrawn,66.66666666666667,1418.0,47.0
205350,AAA,2013J,35-55,0,60,N,Pass,72.2,1665.0,126.0
205719,AAA,2013J,0-35,0,90,Y,Fail,56.666666666666664,333.0,32.0
227499,AAA,2013J,35-55,0,60,N,Distinction,83.6,2953.0,162.0
227517,AAA,2013J,0-35,0,180,N,Fail,62.6,1205.0,69.0
